Reporting country,Reference period,Item,Item code,Value,Date of extraction (yyyymmdd),Number of submissions per reporting country (NCA) and reference date
ICELAND,2017 Q1,"Receivables (trade, not insurance)",R0380,9.88,20190319,8
ICELAND,2017 Q1,Reinsurance receivables,R0370,0.59,20190319,8
ICELAND,2017 Q1,Best Estimate,R0630,24.42,20190319,8
ICELAND,2017 Q1,Bonds,R0130,397.97,20190319,8
ICELAND,2017 Q1,Insurance and intermediaries receivables,R0360,220.68,20190319,8
ICELAND,2017 Q1,Debts owed to credit institutions,R0800,0.64,20190319,8
ICELAND,2017 Q1,Pension benefit obligations,R0760,0.08,20190319,8
ICELAND,2017 Q1,Reinsurance payables,R0830,5.06,20190319,8
ICELAND,2017 Q1,Deposits to cedants,R0350,0.00,20190319,8
ICELAND,2017 Q1,Equities - unlisted,R0120,76.81,20190319,8
ICELAND,2017 Q1,Life index-linked and unit-linked,R0340,0.00,20190319,8
ICELAND,2017 Q1,Non-life excluding health,R0290,21.14,20190319,8
ICELAND,2017 Q1,Technical provisions calculated as a whole,R0530,0.00,20190319,8
ICELAND,2017 Q1,Best Estimate,R0710,7.01,20190319,8
ICELAND,2017 Q1,"Holdings in related undertakings, including participations",R0090,85.49,20190319,8
ICELAND,2017 Q1,Loans and mortgages to individuals,R0250,13.12,20190319,8
ICELAND,2017 Q1,Life excluding health and index-linked and unit-linked,R0330,1.31,20190319,8
ICELAND,2017 Q1,Loans and mortgages,R0230,13.31,20190319,8
ICELAND,2017 Q1,Financial liabilities other than debts owed to credit institutions,R0810,0.00,20190319,8
ICELAND,2017 Q1,Risk margin,R0720,0.00,20190319,8
ICELAND,2017 Q1,Risk margin,R0550,17.84,20190319,8
ICELAND,2017 Q1,Non-life and health similar to non-life,R0280,22.23,20190319,8
ICELAND,2017 Q1,Risk margin,R0640,0.63,20190319,8
ICELAND,2017 Q1,Derivatives,R0190,0.00,20190319,8
ICELAND,2017 Q1,Deferred tax liabilities,R0780,0.70,20190319,8
ICELAND,2017 Q1,Reinsurance recoverables from:,R0270,28.32,20190319,8
ICELAND,2017 Q1,Insurance & intermediaries payables,R0820,8.85,20190319,8
ICELAND,2017 Q1,Property (other than for own use),R0080,1.00,20190319,8
ICELAND,2017 Q1,Equities - listed,R0110,171.27,20190319,8
ICELAND,2017 Q1,Provisions other than technical provisions,R0750,2.83,20190319,8
ICELAND,2017 Q1,"Life and health similar to life, excluding health and index-linked and unit-linked",R0310,6.09,20190319,8
ICELAND,2017 Q1,Loans on policies,R0240,0.00,20190319,8
ICELAND,2017 Q1,Technical provisions calculated as a whole,R0700,39.50,20190319,8
ICELAND,2017 Q1,Health similar to life,R0320,4.78,20190319,8
ICELAND,2017 Q1,Technical provisions – index-linked and unit-linked,R0690,46.51,20190319,8
ICELAND,2017 Q1,Equities,R0100,248.08,20190319,8
ICELAND,2017 Q1,Risk margin,R0680,0.47,20190319,8
ICELAND,2017 Q1,Pension benefit surplus,R0050,0.00,20190319,8
ICELAND,2017 Q1,"Payables (trade, not insurance)",R0840,30.91,20190319,8
ICELAND,2017 Q1,Technical provisions calculated as a whole,R0660,0.00,20190319,8
ICELAND,2017 Q1,Structured notes,R0160,0.00,20190319,8
ICELAND,2017 Q1,Technical provisions – life (excluding health and index-linked and unit-linked),R0650,14.78,20190319,8
ICELAND,2017 Q1,Deposits other than cash equivalents,R0200,8.17,20190319,8
ICELAND,2017 Q1,Other investments,R0210,0.10,20190319,8
ICELAND,2017 Q1,Intangible assets,R0030,0.00,20190319,8
ICELAND,2017 Q1,"Property, plant & equipment held for own use",R0060,11.81,20190319,8
ICELAND,2017 Q1,Technical provisions - health (similar to life),R0610,25.05,20190319,8
ICELAND,2017 Q1,Risk margin,R0590,4.03,20190319,8
ICELAND,2017 Q1,Technical provisions - life (excluding index-linked and unit-linked),R0600,39.83,20190319,8
ICELAND,2017 Q1,Subordinated liabilities,R0850,38.51,20190319,8
ICELAND,2017 Q1,Technical provisions – non-life,R0510,651.86,20190319,8
ICELAND,2017 Q1,Best Estimate,R0580,108.42,20190319,8
ICELAND,2017 Q1,Deposits from reinsurers,R0770,0.00,20190319,8
ICELAND,2017 Q1,Technical provisions calculated as a whole,R0570,0.00,20190319,8
ICELAND,2017 Q1,Contingent liabilities,R0740,0.00,20190319,8
ICELAND,2017 Q1,Technical provisions - health (similar to non-life),R0560,112.46,20190319,8
ICELAND,2017 Q1,Best Estimate,R0670,14.32,20190319,8
ICELAND,2017 Q1,Own shares (held directly),R0390,19.07,20190319,8
ICELAND,2017 Q1,Best Estimate,R0540,521.57,20190319,8
ICELAND,2017 Q1,Deferred tax assets,R0040,9.74,20190319,8
ICELAND,2017 Q2,Collective Investments Undertakings,R0180,177.82,20190319,8
ICELAND,2017 Q2,Technical provisions calculated as a whole,R0530,0.00,20190319,8
ICELAND,2017 Q2,Technical provisions – non-life (excluding health),R0520,544.08,20190319,8
ICELAND,2017 Q2,Collateralised securities,R0170,0.77,20190319,8
ICELAND,2017 Q2,Technical provisions – non-life,R0510,655.28,20190319,8
ICELAND,2017 Q2,Intangible assets,R0030,0.28,20190319,8
ICELAND,2017 Q2,Total assets,R0500,1353.41,20190319,8
ICELAND,2017 Q2,Structured notes,R0160,0.00,20190319,8
ICELAND,2017 Q2,Provisions other than technical provisions,R0750,3.32,20190319,8
ICELAND,2017 Q2,"Any other assets, not elsewhere shown",R0420,10.89,20190319,8
ICELAND,2017 Q2,Cash and cash equivalents,R0410,61.19,20190319,8
ICELAND,2017 Q2,Corporate Bonds,R0150,161.29,20190319,8
ICELAND,2017 Q2,Technical provisions - life (excluding index-linked and unit-linked),R0600,42.00,20190319,8
ICELAND,2017 Q2,Amounts due in respect of own fund items or initial fund called up but not yet paid in,R0400,0.00,20190319,8
ICELAND,2017 Q2,Equities,R0100,243.34,20190319,8
ICELAND,2017 Q2,Government Bonds,R0140,248.05,20190319,8
ICELAND,2017 Q2,"Receivables (trade, not insurance)",R0380,12.12,20190319,8
ICELAND,2017 Q2,Reinsurance receivables,R0370,0.57,20190319,8
ICELAND,2017 Q2,Technical provisions calculated as a whole,R0700,41.08,20190319,8
ICELAND,2017 Q2,Bonds,R0130,410.12,20190319,8
ICELAND,2017 Q2,Insurance and intermediaries receivables,R0360,208.47,20190319,8
ICELAND,2017 Q2,Deposits to cedants,R0350,0.00,20190319,8
ICELAND,2017 Q2,Equities - unlisted,R0120,70.94,20190319,8
ICELAND,2017 Q2,Property (other than for own use),R0080,1.13,20190319,8
ICELAND,2017 Q2,Life index-linked and unit-linked,R0340,0.00,20190319,8
ICELAND,2017 Q2,Technical provisions calculated as a whole,R0620,0.00,20190319,8
ICELAND,2017 Q2,"Payables (trade, not insurance)",R0840,30.07,20190319,8
ICELAND,2017 Q2,Derivatives,R0790,0.00,20190319,8
ICELAND,2017 Q2,Financial liabilities other than debts owed to credit institutions,R0810,0.00,20190319,8
ICELAND,2017 Q2,Insurance & intermediaries payables,R0820,7.74,20190319,8
ICELAND,2017 Q2,Debts owed to credit institutions,R0800,0.66,20190319,8
ICELAND,2017 Q2,Health similar to non-life,R0300,1.09,20190319,8
ICELAND,2017 Q2,Deferred tax liabilities,R0780,0.85,20190319,8
ICELAND,2017 Q2,Risk margin,R0720,0.00,20190319,8
ICELAND,2017 Q2,Risk margin,R0640,0.65,20190319,8
ICELAND,2017 Q2,Non-life excluding health,R0290,16.35,20190319,8
ICELAND,2017 Q2,Pension benefit obligations,R0760,0.09,20190319,8
ICELAND,2017 Q2,Subordinated liabilities,R0850,39.84,20190319,8
ICELAND,2017 Q2,Non-life and health similar to non-life,R0280,17.43,20190319,8
ICELAND,2017 Q2,Contingent liabilities,R0740,0.00,20190319,8
ICELAND,2017 Q2,Health similar to life,R0320,4.81,20190319,8
ICELAND,2017 Q2,Equities - listed,R0110,172.40,20190319,8
ICELAND,2017 Q2,Reinsurance recoverables from:,R0270,23.66,20190319,8
ICELAND,2017 Q2,Best Estimate,R0710,6.85,20190319,8
ICELAND,2017 Q2,Reinsurance payables,R0830,2.80,20190319,8
ICELAND,2017 Q2,Own shares (held directly),R0390,25.07,20190319,8
ICELAND,2017 Q2,Other loans and mortgages,R0260,0.21,20190319,8
ICELAND,2017 Q2,Technical provisions – index-linked and unit-linked,R0690,47.93,20190319,8
ICELAND,2017 Q2,Technical provisions calculated as a whole,R0660,0.00,20190319,8
ICELAND,2017 Q2,Loans and mortgages to individuals,R0250,12.47,20190319,8
ICELAND,2017 Q2,Best Estimate,R0670,15.15,20190319,8
ICELAND,2017 Q2,Loans on policies,R0240,0.00,20190319,8
ICELAND,2017 Q2,Investments (other than assets held for index-linked and unit-linked contracts),R0070,932.99,20190319,8
ICELAND,2017 Q2,Technical provisions – life (excluding health and index-linked and unit-linked),R0650,15.63,20190319,8
ICELAND,2017 Q2,Deposits from reinsurers,R0770,0.00,20190319,8
ICELAND,2017 Q2,Loans and mortgages,R0230,12.68,20190319,8
ICELAND,2017 Q2,Best Estimate,R0630,25.72,20190319,8
ICELAND,2017 Q2,Life excluding health and index-linked and unit-linked,R0330,1.42,20190319,8
ICELAND,2017 Q2,"Property, plant & equipment held for own use",R0060,12.26,20190319,8
ICELAND,2017 Q2,Assets held for index-linked and unit-linked contracts,R0220,47.93,20190319,8
ICELAND,2017 Q2,Pension benefit surplus,R0050,0.00,20190319,8
ICELAND,2017 Q2,Technical provisions - health (similar to life),R0610,26.37,20190319,8
ICELAND,2017 Q2,"Holdings in related undertakings, including participations",R0090,92.53,20190319,8
ICELAND,2017 Q2,Other investments,R0210,0.02,20190319,8
ICELAND,2017 Q2,Risk margin,R0590,4.19,20190319,8
ICELAND,2017 Q2,Best Estimate,R0580,107.02,20190319,8
ICELAND,2017 Q2,Deposits other than cash equivalents,R0200,8.03,20190319,8
ICELAND,2017 Q2,Technical provisions calculated as a whole,R0570,0.00,20190319,8
ICELAND,2017 Q2,"Life and health similar to life, excluding health and index-linked and unit-linked",R0310,6.23,20190319,8
ICELAND,2017 Q2,Risk margin,R0680,0.48,20190319,8
ICELAND,2017 Q2,Technical provisions - health (similar to non-life),R0560,111.21,20190319,8
ICELAND,2017 Q2,Derivatives,R0190,0.00,20190319,8
ICELAND,2017 Q2,Risk margin,R0550,18.33,20190319,8
ICELAND,2017 Q2,Deferred tax assets,R0040,5.33,20190319,8
ICELAND,2017 Q2,Best Estimate,R0540,525.75,20190319,8
ICELAND,2017 Q2,Excess of assets over liabilities,R1000,515.15,20190319,8
ICELAND,2017 Q2,Subordinated liabilities not in Basic Own Funds,R0860,0.00,20190319,8
ICELAND,2017 Q2,Subordinated liabilities in Basic Own Funds,R0870,39.84,20190319,8
ICELAND,2017 Q2,Total liabilities,R0900,838.27,20190319,8
ICELAND,2017 Q2,"Any other liabilities, not elsewhere shown",R0880,7.68,20190319,8
ICELAND,2017 Q3,Subordinated liabilities not in Basic Own Funds,R0860,0.00,20190319,8
ICELAND,2017 Q3,Total liabilities,R0900,774.45,20190319,8
ICELAND,2017 Q3,"Any other liabilities, not elsewhere shown",R0880,7.73,20190319,8
ICELAND,2017 Q3,Subordinated liabilities in Basic Own Funds,R0870,37.73,20190319,8
ICELAND,2017 Q3,Excess of assets over liabilities,R1000,483.09,20190319,8
ICELAND,2017 Q3,Technical provisions calculated as a whole,R0530,0.00,20190319,8
ICELAND,2017 Q3,Deferred tax liabilities,R0780,0.90,20190319,8
ICELAND,2017 Q3,Technical provisions – non-life (excluding health),R0520,502.73,20190319,8
ICELAND,2017 Q3,Collateralised securities,R0170,0.77,20190319,8
ICELAND,2017 Q3,Technical provisions – non-life,R0510,603.09,20190319,8
ICELAND,2017 Q3,Intangible assets,R0030,0.21,20190319,8
ICELAND,2017 Q3,Total assets,R0500,1257.53,20190319,8
ICELAND,2017 Q3,Structured notes,R0160,0.00,20190319,8
ICELAND,2017 Q3,"Any other assets, not elsewhere shown",R0420,13.96,20190319,8
ICELAND,2017 Q3,Cash and cash equivalents,R0410,41.84,20190319,8
ICELAND,2017 Q3,Best Estimate,R0710,6.80,20190319,8
ICELAND,2017 Q3,Corporate Bonds,R0150,161.25,20190319,8
ICELAND,2017 Q3,Amounts due in respect of own fund items or initial fund called up but not yet paid in,R0400,0.00,20190319,8
ICELAND,2017 Q3,Own shares (held directly),R0390,27.42,20190319,8
ICELAND,2017 Q3,Government Bonds,R0140,231.53,20190319,8
ICELAND,2017 Q3,Non-life excluding health,R0290,13.01,20190319,8
ICELAND,2017 Q3,"Receivables (trade, not insurance)",R0380,11.48,20190319,8
ICELAND,2017 Q3,Derivatives,R0790,0.06,20190319,8
ICELAND,2017 Q3,Reinsurance receivables,R0370,1.10,20190319,8
ICELAND,2017 Q3,Bonds,R0130,393.54,20190319,8
ICELAND,2017 Q3,Insurance and intermediaries receivables,R0360,174.96,20190319,8
ICELAND,2017 Q3,Deposits to cedants,R0350,0.00,20190319,8
ICELAND,2017 Q3,Equities - unlisted,R0120,66.75,20190319,8
ICELAND,2017 Q3,Life index-linked and unit-linked,R0340,0.00,20190319,8
ICELAND,2017 Q3,Debts owed to credit institutions,R0800,0.62,20190319,8
ICELAND,2017 Q3,Equities - listed,R0110,162.09,20190319,8
ICELAND,2017 Q3,Health similar to life,R0320,4.51,20190319,8
ICELAND,2017 Q3,Best Estimate,R0630,23.40,20190319,8
ICELAND,2017 Q3,"Life and health similar to life, excluding health and index-linked and unit-linked",R0310,5.66,20190319,8
ICELAND,2017 Q3,Equities,R0100,228.85,20190319,8
ICELAND,2017 Q3,Financial liabilities other than debts owed to credit institutions,R0810,0.00,20190319,8
ICELAND,2017 Q3,Health similar to non-life,R0300,0.82,20190319,8
ICELAND,2017 Q3,Contingent liabilities,R0740,0.00,20190319,8
ICELAND,2017 Q3,"Holdings in related undertakings, including participations",R0090,90.64,20190319,8
ICELAND,2017 Q3,Non-life and health similar to non-life,R0280,13.83,20190319,8
ICELAND,2017 Q3,Risk margin,R0720,0.00,20190319,8
ICELAND,2017 Q3,Reinsurance recoverables from:,R0270,19.49,20190319,8
ICELAND,2017 Q3,Property (other than for own use),R0080,1.07,20190319,8
ICELAND,2017 Q3,Technical provisions calculated as a whole,R0700,41.58,20190319,8
ICELAND,2017 Q3,Other loans and mortgages,R0260,0.00,20190319,8
ICELAND,2017 Q3,Technical provisions – index-linked and unit-linked,R0690,48.38,20190319,8
ICELAND,2017 Q3,Risk margin,R0680,0.46,20190319,8
ICELAND,2017 Q3,Investments (other than assets held for index-linked and unit-linked contracts),R0070,892.38,20190319,8
ICELAND,2017 Q3,Insurance & intermediaries payables,R0820,6.34,20190319,8
ICELAND,2017 Q3,Technical provisions calculated as a whole,R0660,0.00,20190319,8
ICELAND,2017 Q3,Loans on policies,R0240,0.00,20190319,8
ICELAND,2017 Q3,Technical provisions – life (excluding health and index-linked and unit-linked),R0650,13.92,20190319,8
ICELAND,2017 Q3,Provisions other than technical provisions,R0750,3.51,20190319,8
ICELAND,2017 Q3,Risk margin,R0640,0.62,20190319,8
ICELAND,2017 Q3,Loans and mortgages,R0230,10.77,20190319,8
ICELAND,2017 Q3,Pension benefit obligations,R0760,0.08,20190319,8
ICELAND,2017 Q3,"Property, plant & equipment held for own use",R0060,11.34,20190319,8
ICELAND,2017 Q3,Technical provisions calculated as a whole,R0620,0.00,20190319,8
ICELAND,2017 Q3,Life excluding health and index-linked and unit-linked,R0330,1.15,20190319,8
ICELAND,2017 Q3,Assets held for index-linked and unit-linked contracts,R0220,48.38,20190319,8
ICELAND,2017 Q3,"Payables (trade, not insurance)",R0840,26.83,20190319,8
ICELAND,2017 Q3,Technical provisions - health (similar to life),R0610,24.01,20190319,8
ICELAND,2017 Q3,Technical provisions - life (excluding index-linked and unit-linked),R0600,37.94,20190319,8
ICELAND,2017 Q3,Best Estimate,R0670,13.46,20190319,8
ICELAND,2017 Q3,Other investments,R0210,0.00,20190319,8
ICELAND,2017 Q3,Pension benefit surplus,R0050,0.00,20190319,8
ICELAND,2017 Q3,Loans and mortgages to individuals,R0250,10.77,20190319,8
ICELAND,2017 Q3,Best Estimate,R0580,96.20,20190319,8
ICELAND,2017 Q3,Risk margin,R0590,4.16,20190319,8
ICELAND,2017 Q3,Deposits other than cash equivalents,R0200,7.99,20190319,8
ICELAND,2017 Q3,Subordinated liabilities,R0850,37.73,20190319,8
ICELAND,2017 Q3,Technical provisions calculated as a whole,R0570,0.00,20190319,8
ICELAND,2017 Q3,Technical provisions - health (similar to non-life),R0560,100.36,20190319,8
ICELAND,2017 Q3,Derivatives,R0190,0.00,20190319,8
ICELAND,2017 Q3,Risk margin,R0550,17.21,20190319,8
ICELAND,2017 Q3,Deposits from reinsurers,R0770,0.00,20190319,8
ICELAND,2017 Q3,Deferred tax assets,R0040,4.22,20190319,8
ICELAND,2017 Q3,Reinsurance payables,R0830,1.24,20190319,8
ICELAND,2017 Q3,Best Estimate,R0540,485.52,20190319,8
ICELAND,2017 Q3,Collective Investments Undertakings,R0180,170.29,20190319,8
ICELAND,2017 Q4,Technical provisions calculated as a whole,R0530,0.00,20190319,8
ICELAND,2017 Q4,Technical provisions – non-life (excluding health),R0520,469.76,20190319,8
ICELAND,2017 Q4,Collateralised securities,R0170,0.76,20190319,8
ICELAND,2017 Q4,Intangible assets,R0030,0.00,20190319,8
ICELAND,2017 Q4,Technical provisions – non-life,R0510,566.38,20190319,8
ICELAND,2017 Q4,Total assets,R0500,1220.05,20190319,8
ICELAND,2017 Q4,Structured notes,R0160,0.00,20190319,8
ICELAND,2017 Q4,"Any other assets, not elsewhere shown",R0420,3.55,20190319,8
ICELAND,2017 Q4,Cash and cash equivalents,R0410,35.92,20190319,8
ICELAND,2017 Q4,Corporate Bonds,R0150,149.97,20190319,8
ICELAND,2017 Q4,Amounts due in respect of own fund items or initial fund called up but not yet paid in,R0400,0.00,20190319,8
ICELAND,2017 Q4,Own shares (held directly),R0390,21.68,20190319,8
ICELAND,2017 Q4,Derivatives,R0790,0.08,20190319,8
ICELAND,2017 Q4,Government Bonds,R0140,287.41,20190319,8
ICELAND,2017 Q4,"Receivables (trade, not insurance)",R0380,5.69,20190319,8
ICELAND,2017 Q4,Reinsurance receivables,R0370,1.03,20190319,8
ICELAND,2017 Q4,Bonds,R0130,438.14,20190319,8
ICELAND,2017 Q4,Insurance and intermediaries receivables,R0360,141.25,20190319,8
ICELAND,2017 Q4,Deposits to cedants,R0350,0.00,20190319,8
ICELAND,2017 Q4,Equities - unlisted,R0120,65.03,20190319,8
ICELAND,2017 Q4,Life index-linked and unit-linked,R0340,0.00,20190319,8
ICELAND,2017 Q4,Life excluding health and index-linked and unit-linked,R0330,0.86,20190319,8
ICELAND,2017 Q4,Equities - listed,R0110,149.56,20190319,8
ICELAND,2017 Q4,"Payables (trade, not insurance)",R0840,24.04,20190319,8
ICELAND,2017 Q4,Health similar to life,R0320,3.99,20190319,8
ICELAND,2017 Q4,Insurance & intermediaries payables,R0820,5.49,20190319,8
ICELAND,2017 Q4,"Life and health similar to life, excluding health and index-linked and unit-linked",R0310,4.85,20190319,8
ICELAND,2017 Q4,Equities,R0100,214.58,20190319,8
ICELAND,2017 Q4,Debts owed to credit institutions,R0800,0.21,20190319,8
ICELAND,2017 Q4,Risk margin,R0720,0.00,20190319,8
ICELAND,2017 Q4,Health similar to non-life,R0300,0.63,20190319,8
ICELAND,2017 Q4,Deferred tax liabilities,R0780,0.13,20190319,8
ICELAND,2017 Q4,Non-life excluding health,R0290,9.48,20190319,8
ICELAND,2017 Q4,"Holdings in related undertakings, including participations",R0090,83.77,20190319,8
ICELAND,2017 Q4,Pension benefit obligations,R0760,0.07,20190319,8
ICELAND,2017 Q4,Non-life and health similar to non-life,R0280,10.11,20190319,8
ICELAND,2017 Q4,Contingent liabilities,R0740,0.00,20190319,8
ICELAND,2017 Q4,Reinsurance recoverables from:,R0270,14.97,20190319,8
ICELAND,2017 Q4,Property (other than for own use),R0080,0.39,20190319,8
ICELAND,2017 Q4,Best Estimate,R0710,7.17,20190319,8
ICELAND,2017 Q4,Technical provisions calculated as a whole,R0700,42.86,20190319,8
ICELAND,2017 Q4,Other loans and mortgages,R0260,0.01,20190319,8
ICELAND,2017 Q4,Technical provisions – index-linked and unit-linked,R0690,50.04,20190319,8
ICELAND,2017 Q4,Financial liabilities other than debts owed to credit institutions,R0810,0.00,20190319,8
ICELAND,2017 Q4,Risk margin,R0680,0.85,20190319,8
ICELAND,2017 Q4,Loans and mortgages to individuals,R0250,10.38,20190319,8
ICELAND,2017 Q4,Investments (other than assets held for index-linked and unit-linked contracts),R0070,923.00,20190319,8
ICELAND,2017 Q4,Best Estimate,R0670,11.23,20190319,8
ICELAND,2017 Q4,Provisions other than technical provisions,R0750,3.66,20190319,8
ICELAND,2017 Q4,Loans on policies,R0240,0.00,20190319,8
ICELAND,2017 Q4,Technical provisions – life (excluding health and index-linked and unit-linked),R0650,12.07,20190319,8
ICELAND,2017 Q4,Technical provisions calculated as a whole,R0660,0.00,20190319,8
ICELAND,2017 Q4,Risk margin,R0640,1.00,20190319,8
ICELAND,2017 Q4,Loans and mortgages,R0230,10.39,20190319,8
ICELAND,2017 Q4,"Property, plant & equipment held for own use",R0060,10.36,20190319,8
ICELAND,2017 Q4,Best Estimate,R0630,21.47,20190319,8
ICELAND,2017 Q4,Reinsurance payables,R0830,1.48,20190319,8
ICELAND,2017 Q4,Technical provisions calculated as a whole,R0620,0.00,20190319,8
ICELAND,2017 Q4,Assets held for index-linked and unit-linked contracts,R0220,50.04,20190319,8
ICELAND,2017 Q4,Technical provisions - health (similar to life),R0610,22.47,20190319,8
ICELAND,2017 Q4,Technical provisions - life (excluding index-linked and unit-linked),R0600,34.54,20190319,8
ICELAND,2017 Q4,Other investments,R0210,0.00,20190319,8
ICELAND,2017 Q4,Pension benefit surplus,R0050,0.00,20190319,8
ICELAND,2017 Q4,Risk margin,R0590,4.03,20190319,8
ICELAND,2017 Q4,Subordinated liabilities,R0850,37.85,20190319,8
ICELAND,2017 Q4,Best Estimate,R0580,92.59,20190319,8
ICELAND,2017 Q4,Deposits other than cash equivalents,R0200,9.76,20190319,8
ICELAND,2017 Q4,Technical provisions calculated as a whole,R0570,0.00,20190319,8
ICELAND,2017 Q4,Technical provisions - health (similar to non-life),R0560,96.62,20190319,8
ICELAND,2017 Q4,Derivatives,R0190,0.00,20190319,8
ICELAND,2017 Q4,Deposits from reinsurers,R0770,0.00,20190319,8
ICELAND,2017 Q4,Deferred tax assets,R0040,2.17,20190319,8
ICELAND,2017 Q4,Risk margin,R0550,17.52,20190319,8
ICELAND,2017 Q4,Best Estimate,R0540,452.24,20190319,8
ICELAND,2017 Q4,Collective Investments Undertakings,R0180,176.36,20190319,8
ICELAND,2017 Q4,Excess of assets over liabilities,R1000,486.89,20190319,8
ICELAND,2017 Q4,"Any other liabilities, not elsewhere shown",R0880,9.20,20190319,8
ICELAND,2017 Q4,Subordinated liabilities not in Basic Own Funds,R0860,0.00,20190319,8
ICELAND,2017 Q4,Subordinated liabilities in Basic Own Funds,R0870,37.85,20190319,8
ICELAND,2017 Q4,Total liabilities,R0900,733.16,20190319,8
ICELAND,2018 Q1,Total liabilities,R0900,880.22,20190319,8
ICELAND,2018 Q1,"Any other liabilities, not elsewhere shown",R0880,9.26,20190319,8
ICELAND,2018 Q1,Subordinated liabilities not in Basic Own Funds,R0860,0.00,20190319,8
ICELAND,2018 Q1,Subordinated liabilities in Basic Own Funds,R0870,39.22,20190319,8
ICELAND,2018 Q1,Excess of assets over liabilities,R1000,436.45,20190319,8
ICELAND,2018 Q1,Technical provisions calculated as a whole,R0530,0.00,20190319,8
ICELAND,2018 Q1,Technical provisions – non-life (excluding health),R0520,574.63,20190319,8
ICELAND,2018 Q1,Collateralised securities,R0170,0.77,20190319,8
ICELAND,2018 Q1,Intangible assets,R0030,0.00,20190319,8
ICELAND,2018 Q1,Technical provisions – non-life,R0510,694.45,20190319,8
ICELAND,2018 Q1,Total assets,R0500,1316.67,20190319,8
ICELAND,2018 Q1,Structured notes,R0160,0.00,20190319,8
ICELAND,2018 Q1,"Any other assets, not elsewhere shown",R0420,4.28,20190319,8
ICELAND,2018 Q1,Cash and cash equivalents,R0410,50.88,20190319,8
ICELAND,2018 Q1,Corporate Bonds,R0150,149.23,20190319,8
ICELAND,2018 Q1,Amounts due in respect of own fund items or initial fund called up but not yet paid in,R0400,0.00,20190319,8
ICELAND,2018 Q1,Own shares (held directly),R0390,2.26,20190319,8
ICELAND,2018 Q1,Government Bonds,R0140,263.90,20190319,8
ICELAND,2018 Q1,"Receivables (trade, not insurance)",R0380,6.76,20190319,8
ICELAND,2018 Q1,Reinsurance receivables,R0370,0.77,20190319,8
ICELAND,2018 Q1,Bonds,R0130,413.90,20190319,8
ICELAND,2018 Q1,Insurance and intermediaries receivables,R0360,241.76,20190319,8
ICELAND,2018 Q1,Deposits to cedants,R0350,0.00,20190319,8
ICELAND,2018 Q1,Equities - unlisted,R0120,69.46,20190319,8
ICELAND,2018 Q1,Life index-linked and unit-linked,R0340,0.00,20190319,8
ICELAND,2018 Q1,Life excluding health and index-linked and unit-linked,R0330,1.29,20190319,8
ICELAND,2018 Q1,Equities - listed,R0110,151.70,20190319,8
ICELAND,2018 Q1,"Payables (trade, not insurance)",R0840,9.63,20190319,8
ICELAND,2018 Q1,Reinsurance payables,R0830,4.61,20190319,8
ICELAND,2018 Q1,Health similar to life,R0320,4.50,20190319,8
ICELAND,2018 Q1,Insurance & intermediaries payables,R0820,29.29,20190319,8
ICELAND,2018 Q1,"Life and health similar to life, excluding health and index-linked and unit-linked",R0310,5.79,20190319,8
ICELAND,2018 Q1,Equities,R0100,221.16,20190319,8
ICELAND,2018 Q1,Debts owed to credit institutions,R0800,0.21,20190319,8
ICELAND,2018 Q1,Derivatives,R0790,0.00,20190319,8
ICELAND,2018 Q1,Health similar to non-life,R0300,0.97,20190319,8
ICELAND,2018 Q1,Deferred tax liabilities,R0780,0.13,20190319,8
ICELAND,2018 Q1,Deposits from reinsurers,R0770,0.00,20190319,8
ICELAND,2018 Q1,Non-life excluding health,R0290,16.29,20190319,8
ICELAND,2018 Q1,"Holdings in related undertakings, including participations",R0090,69.44,20190319,8
ICELAND,2018 Q1,Pension benefit obligations,R0760,0.07,20190319,8
ICELAND,2018 Q1,Provisions other than technical provisions,R0750,2.97,20190319,8
ICELAND,2018 Q1,Non-life and health similar to non-life,R0280,17.26,20190319,8
ICELAND,2018 Q1,Contingent liabilities,R0740,0.00,20190319,8
ICELAND,2018 Q1,Risk margin,R0720,0.00,20190319,8
ICELAND,2018 Q1,Reinsurance recoverables from:,R0270,23.05,20190319,8
ICELAND,2018 Q1,Property (other than for own use),R0080,0.40,20190319,8
ICELAND,2018 Q1,Best Estimate,R0710,7.18,20190319,8
ICELAND,2018 Q1,Technical provisions calculated as a whole,R0700,42.96,20190319,8
ICELAND,2018 Q1,Other loans and mortgages,R0260,21.98,20190319,8
ICELAND,2018 Q1,Technical provisions – index-linked and unit-linked,R0690,50.13,20190319,8
ICELAND,2018 Q1,Risk margin,R0680,0.82,20190319,8
ICELAND,2018 Q1,Loans and mortgages to individuals,R0250,9.25,20190319,8
ICELAND,2018 Q1,Investments (other than assets held for index-linked and unit-linked contracts),R0070,890.93,20190319,8
ICELAND,2018 Q1,Best Estimate,R0670,14.47,20190319,8
ICELAND,2018 Q1,Technical provisions calculated as a whole,R0660,0.00,20190319,8
ICELAND,2018 Q1,Loans on policies,R0240,0.00,20190319,8
ICELAND,2018 Q1,Technical provisions – life (excluding health and index-linked and unit-linked),R0650,15.29,20190319,8
ICELAND,2018 Q1,Risk margin,R0640,0.98,20190319,8
ICELAND,2018 Q1,Loans and mortgages,R0230,31.23,20190319,8
ICELAND,2018 Q1,"Property, plant & equipment held for own use",R0060,11.52,20190319,8
